solute_inchi_std,molefrac,molefrac2,solute_smiles_canonical,solvent1_smiles_canonical,solvent2_smiles_canonical,Temperature [K],logS,Source,solvent1_density,solvent2_density,solvent_avg_density,solvent_density,solvent_smiles_canonical,MP_pred,MP_std,logS_calc,gamma
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.689573033,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.17695822,13.17695822,CC(C)=O,440.01352,11.598891,-0.20502300762477166,1.279374122619629
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.589862345,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.08504139,13.08504139,CC(C)=O,440.01352,11.598891,-0.13310288497713404,1.2461405992507935
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.491694245,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.99208911,12.99208911,CC(C)=O,440.01352,11.598891,-0.06264830254672793,1.212040901184082
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.395321075,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.89805816,12.89805816,CC(C)=O,440.01352,11.598891,0.008696470516895122,1.1710776090621948
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.30051481,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.80290234,12.80290234,CC(C)=O,440.01352,11.598891,0.07840764555405444,1.1307930946350098
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.83669681,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.4113768,13.4113768,CC(C)=O,440.01352,11.598891,-0.31342421097130735,1.2288423776626587
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.72047607,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.31961589,13.31961589,CC(C)=O,440.01352,11.598891,-0.24118433159255312,1.2083003520965576
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.616803422,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.22689881,13.22689881,CC(C)=O,440.01352,11.598891,-0.16874754791295402,1.181312918663025
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.515020142,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.1331876,13.1331876,CC(C)=O,440.01352,11.598891,-0.09675610000022665,1.15031099319458
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.414805098,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.0384418,13.0384418,CC(C)=O,440.01352,11.598891,-0.026282096448486784,1.1186591386795044
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.316501955,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.94261824,12.94261824,CC(C)=O,440.01352,11.598891,0.04351597415584621,1.0845860242843628
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.219700129,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.84567073,12.84567073,CC(C)=O,440.01352,11.598891,0.1138161190474207,1.0457383394241333
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.777371535,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.46501308,13.46501308,CC(C)=O,440.01352,11.598891,-0.27850298469262413,1.1384353637695312
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.659773094,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.37144144,13.37144144,CC(C)=O,440.01352,11.598891,-0.2052152026707444,1.116586446762085
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.55159245,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.27691511,13.27691511,CC(C)=O,440.01352,11.598891,-0.13236028680363596,1.0904778242111206
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.445150466,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.18139617,13.18139617,CC(C)=O,440.01352,11.598891,-0.061850525567464794,1.0653712749481201
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.340654968,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.0848442,13.0848442,CC(C)=O,440.01352,11.598891,0.007767521174847745,1.037984848022461
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.237831239,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.98721606,12.98721606,CC(C)=O,440.01352,11.598891,0.07840874621751728,1.0043039321899414
